232 trajectories on 4 workers (56 already complete)
[178/232] two-plane-four-peaks s2 vurs-a peak=0.05 placement 0.0149 end_to_end 0.0163
[179/232] three-plane-three-peaks s0 vwrs peak=0.05 placement 0.0109 end_to_end 0.0144
[180/232] two-plane-four-peaks s2 gpr-n peak=0.05 placement 0.0184 end_to_end 0.0201
[181/232] three-plane-three-peaks s0 vwrs-n peak=0.05 placement 0.0118 end_to_end 0.0146
[182/232] three-plane-three-peaks s0 gpr-var peak=0.05 placement 0.0187 end_to_end 0.0191
[183/232] three-plane-three-peaks s0 vurs peak=0.05 placement 0.0126 end_to_end 0.0143
[184/232] three-plane-three-peaks s0 gpr-u50-g50 peak=0.05 placement 0.0155 end_to_end 0.0186
[185/232] three-plane-three-peaks s1 space-filling peak=0.05 placement 0.0236 end_to_end 0.0248
[186/232] three-plane-three-peaks s0 vurs-n peak=0.05 placement 0.0111 end_to_end 0.0138
[187/232] three-plane-three-peaks s0 vurs-a peak=0.05 placement 0.0139 end_to_end 0.0160
[188/232] three-plane-three-peaks s1 vwrs peak=0.05 placement 0.0088 end_to_end 0.0137
[189/232] three-plane-three-peaks s1 gpr-var peak=0.05 placement 0.0218 end_to_end 0.0220
[190/232] three-plane-three-peaks s1 vwrs-n peak=0.05 placement 0.0124 end_to_end 0.0149
[191/232] three-plane-three-peaks s0 gpr-n peak=0.05 placement 0.0145 end_to_end 0.0164
[192/232] three-plane-three-peaks s1 gpr-u50-g50 peak=0.05 placement 0.0150 end_to_end 0.0164
[193/232] three-plane-three-peaks s1 vurs peak=0.05 placement 0.0100 end_to_end 0.0127
[194/232] three-plane-three-peaks s2 space-filling peak=0.05 placement 0.0195 end_to_end 0.0224
[195/232] three-plane-three-peaks s1 vurs-n peak=0.05 placement 0.0109 end_to_end 0.0139
[196/232] three-plane-three-peaks s1 vurs-a peak=0.05 placement 0.0129 end_to_end 0.0146
[197/232] three-plane-three-peaks s2 vwrs peak=0.05 placement 0.0129 end_to_end 0.0155
[198/232] three-plane-three-peaks s1 gpr-n peak=0.05 placement 0.0131 end_to_end 0.0152
